V(m³/mol)	P(Pa)
0.0164869	99961.9
0.00649512	244618
0.00400271	371701
0.00287003	470587
0.00222252	533214
0.0018032	554916
0.00150932	534912
0.00129175	476673
0.00112405	388623
0.000975104	280559
0.000854243	186722
0.000757089	176039
0.000677215	389989
0.000610315	1.17221e+06
0.000553397	3.57535e+06
0.000504312	1.26816e+07
0.000461477	2.53281e+08
0.000423696	-4.32171e+07
0.000390044	-3.30048e+07
0.000359791	-3.49101e+07
0.000332345	-4.34912e+07
0.000307209	-6.4294e+07
0.000283941	-1.35652e+08
0.000262109	9.36957e+08
0.000241196	1.04345e+08
0.000220333	5.48249e+07
0.000197221	3.62773e+07
0.000167356	2.58339e+07
0.000133969	1.9731e+07
9.96616e-05	1.59514e+07
6.31411e-05	1.33329e+07
5.75419e-05	1.26033e+07
5.70464e-05	1.2136e+07
5.65857e-05	1.17035e+07
5.61551e-05	1.13019e+07
5.57508e-05	1.09278e+07
5.53698e-05	1.05784e+07
5.50095e-05	1.02512e+07
5.46679e-05	9.94421e+06
5.4343e-05	9.6555e+06
5.40334e-05	9.38346e+06
5.37377e-05	9.12665e+06
5.34546e-05	8.8838e+06
5.31832e-05	8.65379e+06
5.29226e-05	8.4356e+06
5.26719e-05	8.22833e+06
5.24305e-05	8.03117e+06
5.21976e-05	7.84338e+06
5.19728e-05	7.66431e+06
5.17554e-05	7.49335e+06
5.15451e-05	7.32995e+06
5.13414e-05	7.17362e+06
5.11439e-05	7.0239e+06
5.09522e-05	6.88039e+06
5.07661e-05	6.74269e+06
5.05852e-05	6.61045e+06
5.04093e-05	6.48336e+06
5.02381e-05	6.36112e+06
5.00713e-05	6.24345e+06
4.99087e-05	6.1301e+06
4.97503e-05	6.02083e+06
4.95956e-05	5.91542e+06
4.94447e-05	5.81368e+06
4.92973e-05	5.71541e+06
4.91532e-05	5.62043e+06
4.90124e-05	5.52859e+06
4.88746e-05	5.43972e+06
4.87399e-05	5.35369e+06
4.86079e-05	5.27036e+06
4.84787e-05	5.1896e+06
4.83521e-05	5.1113e+06
4.82281e-05	5.03535e+06
4.81065e-05	4.96163e+06
4.79872e-05	4.89006e+06
4.78702e-05	4.82054e+06
4.77554e-05	4.75298e+06
4.76427e-05	4.6873e+06
4.7532e-05	4.62342e+06
4.74233e-05	4.56127e+06
4.73165e-05	4.50078e+06
4.72116e-05	4.44188e+06
4.71084e-05	4.38451e+06
4.70069e-05	4.32862e+06
4.69072e-05	4.27414e+06
4.6809e-05	4.22102e+06
4.67124e-05	4.16921e+06
4.66174e-05	4.11867e+06
4.65238e-05	4.06934e+06
4.64317e-05	4.02119e+06
4.6341e-05	3.97417e+06
4.62516e-05	3.92824e+06
4.61636e-05	3.88337e+06
4.60769e-05	3.83952e+06
4.59914e-05	3.79665e+06
4.59071e-05	3.75473e+06
4.5824e-05	3.71373e+06
4.57421e-05	3.67362e+06
4.56613e-05	3.63437e+06
4.55816e-05	3.59595e+06
4.5503e-05	3.55835e+06
